[_PG-068];[МД];
[_PG-070];[МД];
[_PG-071];[МД];
[_PG-072];[МД];
[_PG-073];[МД];
[A-3003];[АВО];[i];[o];[i_motor_1];[i_motor_2];[out_water];[in_water];
[A-3003_М1];[АВГ];[o_motor];
[A-3003_М2];[АВГ];[o_motor];
[V-3008_ДР_12413];[Дренаж];[i];
[V-3008_ДР_12433];[Дренаж];[i];
[V-3008_ДР_12569];[Дренаж];[i];
[V-3008_ДР_12576];[Дренаж];[i];
[V-3008_ДР_12599];[Дренаж];[i];
[V-3008_ДР_12604];[Дренаж];[i];
[V-3008_ДР_12631];[Дренаж];[i];
[V-3008_ДР_12662];[Дренаж];[i];
[V-3008_ЗАГЛ_НО_11503];[Заглушка_НО];[i];[o];
[V-3008_ЗАГЛ_НО_11560];[Заглушка_НО];[o];[i];
[V-3008_ЗАГЛ_НО_11743];[Заглушка_НО];[o];[i];
[V-3008_ЗАГЛ_НО_11823];[Заглушка_НО];[o];[i];
[V-3008_ЗКЛ_11299];[Проходной_кран];[o];[i];
[V-3008_ЗКЛ_11333];[Проходной_кран];[o];[i];
[V-3008_ЗКЛ_11359];[Проходной_кран];[o];[i];
[V-3008_ЗКЛ_11406];[Проходной_кран];[i];[o];
[V-3008_ЗКЛ_11410];[Проходной_кран];[i];[o];
[V-3008_ЗКЛ_11439];[Проходной_кран];[i];[o];
[V-3008_ЗКЛ_11478];[Проходной_кран];[i];[o];
[V-3008_ЗКЛ_11538];[Проходной_кран];[i];[o];
[V-3008_ЗКЛ_11567];[Проходной_кран];[i];[o];
[V-3008_ЗКЛ_11572];[Проходной_кран];[o];[i];
[V-3008_ЗКЛ_11597];[Проходной_кран];[i];[o];
[V-3008_ЗКЛ_11601];[Проходной_кран];[o];[i];
[V-3008_ЗКЛ_11692];[Проходной_кран];[o];[i];
[V-3008_ЗКЛ_11715];[Проходной_кран];[o];[i];
[V-3008_ЗКЛ_11786];[Проходной_кран];[i];[o];
[V-3008_ЗКЛ_11903];[Проходной_кран];[i];[o];
[V-3008_ЗКЛ_11960];[Проходной_кран];[i];[o];
[V-3008_ЗКЛ_11971];[Проходной_кран];[i];[o];
[V-3008_ЗКЛ_11996];[Проходной_кран];[i];[o];
[V-3008_ЗКЛ_12018];[Проходной_кран];[i];[o];
[V-3008_ЗКЛ_12067];[Проходной_кран];[i];[o];
[V-3008_ЗКЛ_12104];[Проходной_кран];[i];[o];
[V-3008_ЗКЛ_12115];[Проходной_кран];[i];[o];
[V-3008_ЗКЛ_12142];[Проходной_кран];[o];[i];
[V-3008_ЗКЛ_12164];[Проходной_кран];[i];[o];
[V-3008_ЗКЛ_12195];[Проходной_кран];[i];[o];
[V-3008_ЗКЛ_12258];[Проходной_кран];[i];[o];
[V-3008_ЗКЛ_12368];[Проходной_кран];[i];[o];
[V-3008_ЗКЛ_12426];[Проходной_кран];[i];[o];
[V-3008_ЗКЛ_12609];[Проходной_кран];[i];[o];
[V-3008_ЗКЛ_12684];[Проходной_кран];[i];[o];
[V-3008_ЗКЛ_12693];[Проходной_кран];[i];[o];
[V-3008_ЗКЛ_12729];[Проходной_кран];[o];[i];
[V-3008_ЗКЛ_12734];[Проходной_кран];[i];[o];
[V-3008_ЗКЛ_ЗАГЛ_НЗ_11314];[Задвижка_с_заглушкой_НЗ];[o];[i];
[V-3008_ЗКЛ_ЗАГЛ_НЗ_11374];[Задвижка_с_заглушкой_НЗ];[o];[i];
[V-3008_ЗКЛ_ЗАГЛ_НЗ_11426];[Задвижка_с_заглушкой_НЗ];[o];[i];
[V-3008_ЗКЛ_ЗАГЛ_НЗ_11457];[Задвижка_с_заглушкой_НЗ];[i];[o];
[V-3008_ЗКЛ_ЗАГЛ_НЗ_11656];[Задвижка_с_заглушкой_НЗ];[i];[o];
[V-3008_ЗКЛ_ЗАГЛ_НЗ_11727];[Задвижка_с_заглушкой_НЗ];[o];[i];
[V-3008_ЗКЛ_ЗАГЛ_НЗ_11798];[Задвижка_с_заглушкой_НЗ];[o];[i];
[V-3008_ЗКЛ_ЗАГЛ_НЗ_11935];[Задвижка_с_заглушкой_НЗ];[i];[o];
[V-3008_ЗКЛ_ЗАГЛ_НЗ_12032];[Задвижка_с_заглушкой_НЗ];[o];[i];
[V-3008_ЗКЛ_ЗАГЛ_НЗ_12079];[Задвижка_с_заглушкой_НЗ];[i];[o];
[V-3008_ЗКЛ_ЗАГЛ_НЗ_12178];[Задвижка_с_заглушкой_НЗ];[i];[o];
[V-3008_ЗКЛ_ЗАГЛ_НЗ_12241];[Задвижка_с_заглушкой_НЗ];[o];[i];
[V-3008_ЗКЛ_ЗАГЛ_НЗ_12243];[Задвижка_с_заглушкой_НЗ];[o];[i];
[V-3008_ЗКЛ_ЗАГЛ_НЗ_12308];[Задвижка_с_заглушкой_НЗ];[o];[i];
[V-3008_ЗКЛ_ЗАГЛ_НЗ_12337];[Задвижка_с_заглушкой_НЗ];[o];[i];
[V-3008_ЗКЛ_ЗАГЛ_НЗ_12440];[Задвижка_с_заглушкой_НЗ];[o];[i];
[V-3008_ЗКЛ_ЗАГЛ_НО_11892];[Задвижка_с_заглушкой_НО];[i];[o];
[V-3008_ЗКЛ_ЗАГЛ_НО_12007];[Задвижка_с_заглушкой_НО];[i];[o];
[V-3008_ЗКЛ_ЗАГЛ_НО_12056];[Задвижка_с_заглушкой_НО];[i];[o];
[V-3008_ЗКЛ_ЗАГЛ_НО_12153];[Задвижка_с_заглушкой_НО];[i];[o];
[V-3008_Конд_12699];[Конденсатоотводчик];[o];[i];
[V-3008_ОК_11324];[Обратный_клапан];[i];[o];
[V-3008_ОК_11384];[Обратный_клапан];[i];[o];
[V-3008_ОК_11483];[Обратный_клапан];[i];[o];
[V-3008_ОК_11954];[Обратный_клапан];[o];[i];
[V-3008_ОК_11987];[Обратный_клапан];[i];[o];
[V-3008_ОК_12098];[Обратный_клапан];[o];[i];
[V-3008_ОК_12131];[Обратный_клапан];[i];[o];
[V-3008_ОК_12232];[Обратный_клапан];[i];[o];
[V-3008_ОК_12253];[Обратный_клапан];[o];[i];
[V-3008_ОК_12621];[Обратный_клапан];[o];[i];
[V-3008_ОК_12646];[Обратный_клапан];[i];[o];
[V-3008_ОК_12717];[Обратный_клапан];[o];[i];
[V-3008_ОК_12722];[Обратный_клапан];[o];[i];
[V-3008_Ф_11976];[Фильтр];[i];[o];
[V-3008_Ф_12120];[Фильтр];[i];[o];
[V-3008_ШК_11697];[Шаровой_кран];[i];[o];
[V-3008_ШК_11848];[Шаровой_кран];[i];[o];
[V-3008_ШК_12217];[Шаровой_кран];[i];[o];
[V-3008_ШК_12617];[Шаровой_кран];[o];[i];
[V-3008_ШК_12654];[Шаровой_кран];[i];[o];
[V-3008_ШК_12669];[Шаровой_кран];[i];[o];
[Азот];[Коллектор];[o_V-3008_1];
[Возвратный поток от компрессоров С-3001A/S в A-3003];[IO];[o];
[Дренаж в V-3023];[Коллектор];
[Дренаж в V-3023];[Коллектор];
[Дренаж в V-3023];[Коллектор];
[Дренаж в V-3023];[Коллектор];
[Дренаж в V-3023];[Коллектор];
[Дренаж в V-3023];[Коллектор];[i_V-3008_4];[i_V-3008_7];[i_V-3008_8];[i_V-3008_10];[i_V-3008_11];[i_V-3008_12];[i_V-3008_13];
[Дренаж в V-3023];[Коллектор];
[Изм_Р-3012A];[Измеритель];[i_motor];
[Изм_Р-3012S];[Измеритель];[i_motor];
[Кислая вода из V-3008 в A-3001/A-C];[IO];[i];
[Кислый газ от V-3008 в V-3010];[IO];[i];
[Конденсат НД от аппаратов];[Коллектор];[i_V-3008_16];
[Нафта от V-3010 в A-3001];[IO];[o];
[Нестабильная нафта в А-3003 от P-3006/A,S];[IO];[o];
[Нестабильная нафта от P-3012/A,S в Е-3005];[IO];[i];
[Нестабильная нафта от P-3012/A,S в узел впрыска ингибитора];[IO];[i];
[Пар НД к аппаратам];[Коллектор];
[Пар НД к аппаратам];[Коллектор];[o_V-3008_6];[o_V-3008_17];
[Промтеплофикационная вода обратная];[Коллектор];[i_V-3008_15];
[Промтеплофикационная вода прямая];[Коллектор];[o_V-3008_14];
[Промывка от P-3012/A-S в V-3003];[IO];[i];
[Р-3012A];[Насос_центробежный];[i];[o];[o_motor];
[Р-3012S];[Насос_центробежный];[i];[o];[o_motor];
[Факельный кислый газ];[Коллектор];[o_V-3008_2];[i_V-3008_3];[i_V-3008_5];[i_V-3008_9];
[Факельный кислый газ];[Коллектор];
[Факельный кислый газ];[Коллектор];
[Факельный кислый газ];[Коллектор];
##########;
[V-3008_4028];[Азот][o_V-3008_1];[V-3008_ЗКЛ_11960][i];[V-3008_ЗКЛ_12104][i];
[V-3008_11291];[V-3008_ДР_11337][i];[V-3008_ЗКЛ_11299][o];[A-3003][i];[V-3008_ЗКЛ_11333][o];
[V-3008_11311];[V-3008_ДР_11306][i];[V-3008_ЗКЛ_11299][i];[V-3008_ЗКЛ_ЗАГЛ_НЗ_11314][o];
[V-3008_11329];[V-3008_ЗКЛ_ЗАГЛ_НЗ_11314][i];[V-3008_ОК_11324][i];
[V-3008_11331];[V-3008_ОК_11324][o];[Факельный кислый газ][o_V-3008_2];
[V-3008_11346];[T060][1];[V-3008_ЗКЛ_11333][i];
[V-3008_11349];[T060][2];[Нестабильная нафта в А-3003 от P-3006/A,S][o];[V-3008_ОК_12722][o];
[V-3008_11363];[V-3008_ЗКЛ_11359][o];[A-3003][o];[V-3008_ЗКЛ_11406][i];[V-3008_ЗКЛ_11410][i];[V-3008_ЗКЛ_11439][i];
[V-3008_11371];[V-3008_ДР_11364][i];[V-3008_ЗКЛ_11359][i];[V-3008_ЗКЛ_ЗАГЛ_НЗ_11374][o];
[V-3008_11389];[V-3008_ЗКЛ_ЗАГЛ_НЗ_11374][i];[V-3008_ОК_11384][i];
[V-3008_11392];[V-3008_ОК_11384][o];[Факельный кислый газ][i_V-3008_3];
[V-3008_11423];[V-3008_ЗКЛ_11406][o];[V-3008_ДР_11418][i];[V-3008_ЗКЛ_ЗАГЛ_НЗ_11426][o];
[V-3008_11438];[Дренаж в V-3023][i_V-3008_4];[V-3008_ЗКЛ_ЗАГЛ_НЗ_11457][i];
[V-3008_11450];[V-3008_ЗКЛ_11439][o];[V-3008_ДР_11445][i];[V-3008_ЗКЛ_ЗАГЛ_НЗ_11457][o];
[V-3008_11477];[V-3008_ЗКЛ_11410][o];[T061][3];
[V-3008_11482];[T061][4];[V-3008_ЗКЛ_11478][i];
[V-3008_11488];[V-3008_ЗКЛ_11478][o];[V-3008_ОК_11483][i];
[V-3008_11513];[V-3008_ОК_11483][o];[V-3008_ЗАГЛ_НО_11503][i];
[V-3008_11534];[PSV-018A/S][i];[V-3008][top_2];[V-3008_ЗКЛ_11538][i];
[V-3008_11544];[PSV-018A/S][o];[V-3008_ЗКЛ_11538][o];[V-3008_ЗКЛ_11601][o];[V-3008_ЗКЛ_ЗАГЛ_НЗ_11656][i];[Факельный кислый газ][i_V-3008_5];
[V-3008_11552];[V-3008_ДР_11547][i];[V-3008][top_3];
[V-3008_11566];[PG-068][5];[P068][6];
[V-3008_11571];[V-3008_ЗАГЛ_НО_11560][o];[V-3008_ЗКЛ_11567][i];
[V-3008_11590];[V-3008_ЗКЛ_11572][o];[V-3008_ДР_11578][i];[PV-069A][i];
[V-3008_11596];[V-3008_ЗКЛ_11567][o];[V-3008_ЗКЛ_11572][i];[PV-069B][i];[V-3008_ДР_11636][i];
[V-3008_11605];[PV-069A][o];[V-3008_ЗКЛ_11601][i];
[V-3008_11644];[PV-069B][o];[V-3008_ЗКЛ_11597][i];[HV-033][i];
[V-3008_11653];[V-3008_ЗКЛ_11597][o];[V-3008_ДР_11648][i];[V-3008_ЗКЛ_ЗАГЛ_НЗ_11656][o];
[V-3008_11690];[HV-033][o];[Кислый газ от V-3008 в V-3010][i];
[V-3008_11691];[Пар НД к аппаратам][o_V-3008_6];[V-3008_ШК_11697][i];
[V-3008_11696];[V-3008_ЗКЛ_11692][o];[V-3008][top_5];
[V-3008_11701];[V-3008_ШК_11697][o];[V-3008_ЗКЛ_11692][i];
[V-3008_11726];[V-3008_ЗКЛ_ЗАГЛ_НЗ_11727][o];[V-3008_ЗКЛ_11715][o];[V-3008_ДР_11721][i];
[V-3008_11739];[V-3008_ЗКЛ_11715][i];[V-3008_ЗАГЛ_НО_11743][o];[V-3008][bot_1];
[V-3008_11742];[V-3008_ЗКЛ_ЗАГЛ_НЗ_11727][i];[Дренаж в V-3023][i_V-3008_7];
[V-3008_11750];[V-3008_ДР_11778][i];[LV-026][i];[V-3008_ЗАГЛ_НО_11743][i];
[V-3008_11783];[LV-026][o];[V-3008_ЗКЛ_11786][i];[Нафта от V-3010 в A-3001][o];[Кислая вода из V-3008 в A-3001/A-C][i];
[V-3008_11797];[V-3008_ЗКЛ_ЗАГЛ_НЗ_11798][o];[V-3008_ЗКЛ_11786][o];[V-3008_ДР_11792][i];
[V-3008_11813];[V-3008_ЗКЛ_ЗАГЛ_НО_12007][i];[V-3008_ЗКЛ_ЗАГЛ_НО_12153][i];[HV-052][i];
[V-3008_11829];[V-3008][bot_2];[V-3008_ЗАГЛ_НО_11823][o];
[V-3008_11836];[V-3008_ЗАГЛ_НО_11823][i];[HV-098][i];
[V-3008_11841];[HV-098][o];[V-3008_ЗКЛ_ЗАГЛ_НО_11892][i];[V-3008_ЗКЛ_ЗАГЛ_НО_12056][i];
[V-3008_11846];[V-3008_ОК_11987][i];[PG-072][7];[V-3008_ШК_11848][i];
[V-3008_11847];[V-3008_ОК_11987][o];[V-3008_ЗКЛ_12018][i];[V-3008_ЗКЛ_12258][i];[V-3008_ЗКЛ_11996][i];[V-3008_ЗКЛ_ЗАГЛ_НО_12007][o];[V-3008_ШК_11848][o];[V-3008_ДР_12247][i];
[V-3008_11869];[PG-070][8];[Р-3012A][i];
[V-3008_11870];[V-3008_ДР_11882][i];[V-3008_ЗКЛ_ЗАГЛ_НЗ_11935][i];[V-3008_ЗКЛ_ЗАГЛ_НО_11892][o];[V-3008_Ф_11976][i];[V-3008_ЗКЛ_11971][i];
[V-3008_11876];[Р-3012A][o];[PG-072][9];[V-3008_ЗКЛ_11903][i];
[V-3008_11908];[V-3008_ЗКЛ_11903][o];[V-3008_ЗКЛ_11971][o];[V-3008_ДР_12301][i];[V-3008_ЗКЛ_ЗАГЛ_НЗ_12308][o];[V-3008_ЗКЛ_11996][o];
[V-3008_11919];[PG-071][10];[Р-3012S][i];
[V-3008_11920];[V-3008_ДР_12046][i];[V-3008_ЗКЛ_ЗАГЛ_НЗ_12079][i];[V-3008_ЗКЛ_ЗАГЛ_НО_12056][o];[V-3008_Ф_12120][i];[V-3008_ЗКЛ_12115][i];
[V-3008_11926];[Р-3012S][o];[PG-073][11];[V-3008_ЗКЛ_12067][i];
[V-3008_11952];[V-3008_ЗКЛ_ЗАГЛ_НЗ_11935][o];[V-3008_ДР_11947][i];[V-3008_ОК_11954][o];
[V-3008_11964];[V-3008_ЗКЛ_11960][o];[V-3008_ОК_11954][i];
[V-3008_11982];[V-3008_Ф_11976][o];[PG-070][12];
[V-3008_12030];[V-3008_ЗКЛ_12018][o];[V-3008_ДР_12025][i];[V-3008_ЗКЛ_ЗАГЛ_НЗ_12032][o];
[V-3008_12045];[V-3008_ЗКЛ_ЗАГЛ_НЗ_12032][i];[V-3008_ЗКЛ_ЗАГЛ_НЗ_12178][i];[Промывка от P-3012/A-S в V-3003][i];
[V-3008_12072];[V-3008_ЗКЛ_12067][o];[V-3008_ЗКЛ_12115][o];[V-3008_ЗКЛ_12142][o];[V-3008_ДР_12330][i];[V-3008_ЗКЛ_ЗАГЛ_НЗ_12337][o];
[V-3008_12096];[V-3008_ЗКЛ_ЗАГЛ_НЗ_12079][o];[V-3008_ДР_12091][i];[V-3008_ОК_12098][o];
[V-3008_12108];[V-3008_ЗКЛ_12104][o];[V-3008_ОК_12098][i];
[V-3008_12126];[V-3008_Ф_12120][o];[PG-071][13];
[V-3008_12140];[PG-073][14];[V-3008_ОК_12131][i];[V-3008_ШК_12217][i];
[V-3008_12149];[V-3008_ЗКЛ_12142][i];[V-3008_ЗКЛ_12195][i];[V-3008_ЗКЛ_12164][i];[V-3008_ОК_12131][o];[V-3008_ШК_12217][o];[V-3008_ДР_12226][i];[V-3008_ЗКЛ_ЗАГЛ_НО_12153][o];
[V-3008_12176];[V-3008_ЗКЛ_12164][o];[V-3008_ДР_12171][i];[V-3008_ЗКЛ_ЗАГЛ_НЗ_12178][o];
[V-3008_12194];[V-3008_ЗКЛ_ЗАГЛ_НЗ_12337][i];[Дренаж в V-3023][i_V-3008_8];
[V-3008_12207];[V-3008_ЗКЛ_12195][o];[V-3008_ДР_12202][i];[V-3008_ЗКЛ_ЗАГЛ_НЗ_12241][o];
[V-3008_12210];[V-3008_ЗКЛ_ЗАГЛ_НЗ_12241][i];[V-3008_ОК_12232][i];
[V-3008_12239];[V-3008_ОК_12232][o];[V-3008_ОК_12253][o];[Факельный кислый газ][i_V-3008_9];
[V-3008_12270];[V-3008_ЗКЛ_12258][o];[V-3008_ДР_12265][i];[V-3008_ЗКЛ_ЗАГЛ_НЗ_12243][o];
[V-3008_12285];[V-3008_ЗКЛ_ЗАГЛ_НЗ_12243][i];[V-3008_ОК_12253][i];
[V-3008_12321];[Дренаж в V-3023][i_V-3008_10];[V-3008_ЗКЛ_ЗАГЛ_НЗ_12308][i];
[V-3008_12367];[HV-052][o];[V-3008_ЗКЛ_12368][i];[F035][15];
[V-3008_12375];[V-3008_ЗКЛ_12368][o];[Нестабильная нафта от P-3012/A,S в узел впрыска ингибитора][i];
[V-3008_12376];[V-3008_ДР_12413][i];[FV-035][i];[F035][16];
[V-3008_12410];[FV-035][o];[Нестабильная нафта от P-3012/A,S в Е-3005][i];[V-3008_ЗКЛ_12426][i];
[V-3008_12420];[Дренаж в V-3023][i_V-3008_11];[V-3008_ЗКЛ_ЗАГЛ_НЗ_11798][i];
[V-3008_12438];[V-3008_ЗКЛ_12426][o];[V-3008_ДР_12433][i];[V-3008_ЗКЛ_ЗАГЛ_НЗ_12440][o];
[V-3008_12451];[V-3008_ЗКЛ_ЗАГЛ_НЗ_12440][i];[Дренаж в V-3023][i_V-3008_12];
[V-3008_12452];[A-3003][i_motor_1];[A-3003_М1][o_motor];
[V-3008_12453];[A-3003][i_motor_2];[A-3003_М2][o_motor];
[V-3008_12520];[Дренаж в V-3023][i_V-3008_13];[V-3008_ЗКЛ_ЗАГЛ_НЗ_11426][i];
[V-3008_12528];[PG-068][17];[V-3008][top_4];
[V-3008_12533];[P068][18];[V-3008_ЗАГЛ_НО_11560][i];
[V-3008_12555];[V-3008_ЗАГЛ_НО_11503][o];[V-3008][top_1];
[V-3008_12558];[Промтеплофикационная вода прямая][o_V-3008_14];[V-3008_ДР_12576][i];[V-3008_ЗКЛ_12734][i];
[V-3008_12583];[V-3008][i_heat_1];[V-3008_ЗКЛ_12734][o];
[V-3008_12591];[Промтеплофикационная вода обратная][i_V-3008_15];[V-3008_ДР_12569][i];[V-3008_ЗКЛ_12729][o];
[V-3008_12593];[V-3008][o_heat_1];[V-3008_ЗКЛ_12729][i];
[V-3008_12598];[V-3008_ДР_12599][i];[V-3008_ЗКЛ_12684][i];[A-3003][out_water];
[V-3008_12626];[V-3008_ЗКЛ_12609][i];[V-3008_ДР_12604][i];[V-3008_Конд_12699][o];
[V-3008_12630];[V-3008_ОК_12621][o];[Конденсат НД от аппаратов][i_V-3008_16];
[V-3008_12638];[Пар НД к аппаратам][o_V-3008_17];[V-3008_ОК_12646][i];
[V-3008_12639];[V-3008_ШК_12617][o];[V-3008_ОК_12621][i];[V-3008_ЗКЛ_12609][o];
[V-3008_12642];[V-3008_ШК_12617][i];[V-3008_ЗКЛ_12693][i];[V-3008_ЗКЛ_12684][o];[FO-035][o];
[V-3008_12645];[V-3008_ДР_12631][i];[V-3008_ОК_12646][o];[V-3008_ШК_12669][i];[V-3008_ШК_12654][i];
[V-3008_12667];[V-3008_ШК_12654][o];[V-3008_ДР_12662][i];[A-3003][in_water];
[V-3008_12682];[V-3008_ШК_12669][o];[FO-035][i];
[V-3008_12704];[V-3008_ЗКЛ_12693][o];[V-3008_Конд_12699][i];
[V-3008_12707];[Р-3012S][o_motor];[Изм_Р-3012S][i_motor];
[V-3008_12709];[Р-3012A][o_motor];[Изм_Р-3012A][i_motor];
[V-3008_12727];[V-3008_ОК_12717][o];[V-3008_ОК_12722][i];
[V-3008_12728];[Возвратный поток от компрессоров С-3001A/S в A-3003][o];[V-3008_ОК_12717][i];
