[_TG-046A];[МД];
[_TG-046B];[МД];
[_TG-046С];[МД];
[_TG-138];[МД];
[A-3001_Е-3015_ДР_4036];[Дренаж];[i];
[A-3001_Е-3015_ДР_4055];[Дренаж];[i];
[A-3001_Е-3015_ДР_8818];[Дренаж];[i];
[A-3001_Е-3015_ДР_8871];[Дренаж];[i];
[A-3001_Е-3015_ДР_8911];[Дренаж];[i];
[A-3001_Е-3015_ДР_8962];[Дренаж];[i];
[A-3001_Е-3015_ДР_8988];[Дренаж];[i];
[A-3001_Е-3015_ДР_9026];[Дренаж];[i];
[A-3001_Е-3015_ДР_9063];[Дренаж];[i];
[A-3001_Е-3015_ДР_9097];[Дренаж];[i];
[A-3001_Е-3015_ДР_9177];[Дренаж];[i];
[A-3001_Е-3015_ДР_9215];[Дренаж];[i];
[A-3001_Е-3015_ДР_9246];[Дренаж];[i];
[A-3001_Е-3015_ДР_9280];[Дренаж];[i];
[A-3001_Е-3015_ДР_9359];[Дренаж];[i];
[A-3001_Е-3015_ДР_9383];[Дренаж];[i];
[A-3001_Е-3015_ДР_9421];[Дренаж];[i];
[A-3001_Е-3015_ДР_9463];[Дренаж];[i];
[A-3001_Е-3015_ДР_9502];[Дренаж];[i];
[A-3001_Е-3015_ДР_9521];[Дренаж];[i];
[A-3001_Е-3015_ДР_9596];[Дренаж];[i];
[A-3001_Е-3015_ДР_9648];[Дренаж];[i];
[A-3001_Е-3015_ДР_9831];[Дренаж];[i];
[A-3001_Е-3015_ДР_9863];[Дренаж];[i];
[A-3001_Е-3015_ДР_9894];[Дренаж];[i];
[A-3001_Е-3015_ДР_9939];[Дренаж];[i];
[A-3001_Е-3015_ДР_9954];[Дренаж];[i];
[A-3001_Е-3015_ДР_9978];[Дренаж];[i];
[Возвратный поток от компрессоров С-3001A/S в A-3001];[IO];[o];
[Головной погон колонны фракционирования от E-3015 в V-3003];[IO];[i];
[Дренаж в V-3023];[Коллектор];
[Дренаж в V-3023];[Коллектор];[i_A-3001_Е-3015_4];[i_A-3001_Е-3015_7];
[Кислая вода из V-3008 в A-3001/A-C];[IO];[o];
[Кислая вода из V-3009, V-3010 в A-3001/A-C];[IO];[o];
[Кислая вода от Р-3007A/S в A-3001/A-C];[IO];[o];
[Конденсат НД от аппаратов];[Коллектор];[i_A-3001_Е-3015_8];
[Нафта / ингибитор коррозии из К-3002 в A-3001/A-C];[IO];[o];
[Оборотная вода обратная 2 системы];[Коллектор];[i_A-3001_Е-3015_2];
[Оборотная вода прямая 2 системы];[Коллектор];[o_A-3001_Е-3015_1];
[Пар НД к аппаратам];[Коллектор];[o_A-3001_Е-3015_9];
[Пары колонны фракционирования из Т-3001 в А-3001/A-C];[IO];[o];
[Топливный газ на пуск в A-3001/A-C];[IO];[o];
[Факельный углеводородный газ];[Коллектор];[i_A-3001_Е-3015_3];[i_A-3001_Е-3015_5];[i_A-3001_Е-3015_6];
[Факельный углеводородный газ];[Коллектор];
[Факельный углеводородный газ];[Коллектор];
##########;
[A-3001_Е-3015_4047];[A-3001_Е-3015_ШК_4041][i];[A-3001_Е-3015_ЗКЛ_4030][i];[Оборотная вода прямая 2 системы][o_A-3001_Е-3015_1];
[A-3001_Е-3015_4049];[A-3001_Е-3015_ЗКЛ_4030][o];[A-3001_Е-3015_ДР_4036][i];[E-3015][i_tube];
[A-3001_Е-3015_4054];[E-3015][o_tube];[A-3001_Е-3015_ДР_4055][i];[A-3001_Е-3015_ЗКЛ_4062][o];
[A-3001_Е-3015_4071];[A-3001_Е-3015_ЗКЛ_4062][i];[A-3001_Е-3015_ШК_4041][o];[Оборотная вода обратная 2 системы][i_A-3001_Е-3015_2];
[A-3001_Е-3015_8806];[A-3001_Е-3015_ЗКЛ_8802][o];[A-3001_Е-3015_ЗКЛ_8807][o];[A-3001A][i];[A-3001_Е-3015_ЗКЛ_8823][o];[A-3001_Е-3015_ДР_8818][i];[A-3001_Е-3015_ЗКЛ_8827][o];
[A-3001_Е-3015_8814];[A-3001_Е-3015_ЗКЛ_8802][i];[A-3001_Е-3015_ЗКЛ_8807][i];[A-3001_Е-3015_ЗКЛ_8827][i];[A-3001_Е-3015_ДР_8871][i];[A-3001_Е-3015_ЗКЛ_ЗАГЛ_НЗ_8878][o];
[A-3001_Е-3015_8860];[A-3001A][o];[A-3001_Е-3015_ЗКЛ_8856][i];[A-3001_Е-3015_ЗКЛ_8852][i];[A-3001_Е-3015_ЗКЛ_8940][i];[A-3001_Е-3015_ЗКЛ_8946][i];
[A-3001_Е-3015_8867];[TG-046A][1];[A-3001_Е-3015_ЗКЛ_8823][i];
[A-3001_Е-3015_8891];[A-3001_Е-3015_ЗКЛ_ЗАГЛ_НЗ_8878][i];[A-3001_Е-3015_ОК_8898][i];[A-3001_Е-3015_ЗКЛ_ЗАГЛ_НЗ_9033][i];[A-3001_Е-3015_ЗКЛ_ЗАГЛ_НЗ_9222][i];
[A-3001_Е-3015_8894];[TG-046A][2];[A-3001_Е-3015_ЗКЛ_8907][o];[Кислая вода из V-3008 в A-3001/A-C][o];[Кислая вода из V-3009, V-3010 в A-3001/A-C][o];[A-3001_Е-3015_ЗКЛ_ЗАГЛ_НЗ_9427][i];[A-3001_Е-3015_ЗКЛ_9456][o];[Пары колонны фракционирования из Т-3001 в А-3001/A-C][o];[PV-055B][o];[A-3001_Е-3015_ДР_9502][i];[TG-046С][3];[A-3001_Е-3015_ЗКЛ_9240][i];[TG-046B][4];[A-3001_Е-3015_ЗКЛ_9057][i];
[A-3001_Е-3015_8897];[A-3001_Е-3015_ОК_8898][o];[Факельный углеводородный газ][i_A-3001_Е-3015_3];
[A-3001_Е-3015_8916];[A-3001_Е-3015_ДР_8911][i];[A-3001_Е-3015_ЗКЛ_8852][o];[A-3001_Е-3015_ЗКЛ_ЗАГЛ_НЗ_8919][o];
[A-3001_Е-3015_8931];[A-3001_Е-3015_ЗКЛ_ЗАГЛ_НЗ_8919][i];[Дренаж в V-3023][i_A-3001_Е-3015_4];[A-3001_Е-3015_ЗКЛ_ЗАГЛ_НЗ_8969][i];[A-3001_Е-3015_ЗКЛ_ЗАГЛ_НЗ_9071][i];[A-3001_Е-3015_ЗКЛ_ЗАГЛ_НЗ_9104][i];[A-3001_Е-3015_ЗКЛ_ЗАГЛ_НЗ_9254][i];[A-3001_Е-3015_ЗКЛ_ЗАГЛ_НЗ_9287][i];
[A-3001_Е-3015_8936];[A-3001_Е-3015_ЗКЛ_8856][o];[A-3001_Е-3015_ЗКЛ_9011][o];[A-3001_Е-3015_ЗКЛ_9200][o];[T047][5];
[A-3001_Е-3015_8944];[A-3001_Е-3015_ЗКЛ_8850][o];[A-3001_Е-3015_ЗКЛ_8993][o];[A-3001_Е-3015_ЗКЛ_8997][o];[A-3001_Е-3015_ДР_8988][i];[A-3001B][i];[A-3001_Е-3015_ЗКЛ_8945][o];
[A-3001_Е-3015_8956];[A-3001_Е-3015_ЗКЛ_8946][o];[A-3001_Е-3015_ЗКЛ_8940][o];[A-3001_Е-3015_ДР_8962][i];[A-3001_Е-3015_ЗКЛ_ЗАГЛ_НЗ_8969][o];
[A-3001_Е-3015_8986];[A-3001_Е-3015_ЗКЛ_8850][i];[A-3001_Е-3015_ЗКЛ_8945][i];[A-3001_Е-3015_ЗКЛ_8997][i];[A-3001_Е-3015_ДР_9026][i];[A-3001_Е-3015_ЗКЛ_ЗАГЛ_НЗ_9033][o];
[A-3001_Е-3015_9015];[A-3001B][o];[A-3001_Е-3015_ЗКЛ_9011][i];[A-3001_Е-3015_ЗКЛ_9007][i];[A-3001_Е-3015_ЗКЛ_9087][i];[A-3001_Е-3015_ЗКЛ_9091][i];
[A-3001_Е-3015_9022];[TG-046B][6];[A-3001_Е-3015_ЗКЛ_8993][i];
[A-3001_Е-3015_9054];[A-3001_Е-3015_ЗКЛ_8907][i];[A-3001_Е-3015_ЗКЛ_9057][o];[A-3001_Е-3015_ЗКЛ_9240][o];[A-3001_Е-3015_ЗКЛ_9364][o];[A-3001_Е-3015_ЗКЛ_9388][o];
[A-3001_Е-3015_9068];[A-3001_Е-3015_ДР_9063][i];[A-3001_Е-3015_ЗКЛ_9007][o];[A-3001_Е-3015_ЗКЛ_ЗАГЛ_НЗ_9071][o];
[A-3001_Е-3015_9102];[A-3001_Е-3015_ДР_9097][i];[A-3001_Е-3015_ЗКЛ_ЗАГЛ_НЗ_9104][o];[A-3001_Е-3015_ЗКЛ_9091][o];[A-3001_Е-3015_ЗКЛ_9087][o];
[A-3001_Е-3015_9167];[A-3001_Е-3015_ЗКЛ_9163][o];[A-3001_Е-3015_ЗКЛ_9182][o];[A-3001_Е-3015_ЗКЛ_9186][o];[A-3001_Е-3015_ДР_9177][i];[A-3001С][i];[A-3001_Е-3015_ЗКЛ_9168][o];
[A-3001_Е-3015_9175];[A-3001_Е-3015_ЗКЛ_9163][i];[A-3001_Е-3015_ЗКЛ_9168][i];[A-3001_Е-3015_ЗКЛ_9186][i];[A-3001_Е-3015_ДР_9215][i];[A-3001_Е-3015_ЗКЛ_ЗАГЛ_НЗ_9222][o];
[A-3001_Е-3015_9204];[A-3001С][o];[A-3001_Е-3015_ЗКЛ_9200][i];
[A-3001_Е-3015_9205];[A-3001_Е-3015_ЗКЛ_9196][i];[A-3001_Е-3015_ЗКЛ_9270][i];[A-3001_Е-3015_ЗКЛ_9274][i];
[A-3001_Е-3015_9211];[TG-046С][7];[A-3001_Е-3015_ЗКЛ_9182][i];
[A-3001_Е-3015_9251];[A-3001_Е-3015_ДР_9246][i];[A-3001_Е-3015_ЗКЛ_9196][o];[A-3001_Е-3015_ЗКЛ_ЗАГЛ_НЗ_9254][o];
[A-3001_Е-3015_9285];[A-3001_Е-3015_ДР_9280][i];[A-3001_Е-3015_ЗКЛ_ЗАГЛ_НЗ_9287][o];[A-3001_Е-3015_ЗКЛ_9274][o];[A-3001_Е-3015_ЗКЛ_9270][o];
[A-3001_Е-3015_9372];[A-3001_Е-3015_ЗКЛ_9364][i];[A-3001_Е-3015_ДР_9359][i];[A-3001_Е-3015_ОК_9352][o];
[A-3001_Е-3015_9375];[Кислая вода от Р-3007A/S в A-3001/A-C][o];[A-3001_Е-3015_ОК_9352][i];
[A-3001_Е-3015_9395];[A-3001_Е-3015_ЗКЛ_9388][i];[A-3001_Е-3015_ДР_9383][i];[A-3001_Е-3015_ОК_9376][o];
[A-3001_Е-3015_9398];[Водный р-р аммиака из К-3001 в A-3001/A-C][o];[A-3001_Е-3015_ОК_9376][i];
[A-3001_Е-3015_9419];[A-3001_Е-3015_ДР_9421][i];[A-3001_Е-3015_ОК_9412][o];[A-3001_Е-3015_ЗКЛ_ЗАГЛ_НЗ_9427][o];
[A-3001_Е-3015_9426];[Топливный газ на пуск в A-3001/A-C][o];[A-3001_Е-3015_ОК_9412][i];
[A-3001_Е-3015_9460];[A-3001_Е-3015_ЗКЛ_9456][i];[A-3001_Е-3015_ДР_9463][i];[A-3001_Е-3015_ОК_9449][o];
[A-3001_Е-3015_9472];[Нафта / ингибитор коррозии из К-3002 в A-3001/A-C][o];[A-3001_Е-3015_ОК_9449][i];
[A-3001_Е-3015_9498];[PV-055B][i];[Возвратный поток от компрессоров С-3001A/S в A-3001][o];[A-3001_Е-3015_ЗКЛ_9511][i];
[A-3001_Е-3015_9518];[A-3001_Е-3015_ЗКЛ_9511][o];[A-3001_Е-3015_ДР_9521][i];[A-3001_Е-3015_ЗКЛ_ЗАГЛ_НЗ_9528][o];
[A-3001_Е-3015_9541];[A-3001_Е-3015_ЗКЛ_ЗАГЛ_НЗ_9528][i];[Факельный углеводородный газ][i_A-3001_Е-3015_5];
[A-3001_Е-3015_9575];[T047][8];[A-3001_Е-3015_ЗКЛ_9576][i];[A-3001_Е-3015_ЗКЛ_9580][i];
[A-3001_Е-3015_9588];[A-3001_Е-3015_ЗКЛ_9576][o];[E-3015][i_shell];[A-3001_Е-3015_ЗКЛ_9590][i];
[A-3001_Е-3015_9612];[A-3001_Е-3015_ЗКЛ_9590][o];[A-3001_Е-3015_ДР_9596][i];[A-3001_Е-3015_ЗКЛ_ЗАГЛ_НЗ_9601][o];
[A-3001_Е-3015_9617];[A-3001_Е-3015_ЗКЛ_ЗАГЛ_НЗ_9601][i];[Факельный углеводородный газ][i_A-3001_Е-3015_6];
[A-3001_Е-3015_9620];[E-3015][o_shell];[A-3001_Е-3015_ЗКЛ_9624][i];[A-3001_Е-3015_ЗКЛ_9642][i];
[A-3001_Е-3015_9631];[A-3001_Е-3015_ЗКЛ_9624][o];[A-3001_Е-3015_ЗКЛ_9580][o];[TG-138][9];
[A-3001_Е-3015_9641];[TG-138][10];[Головной погон колонны фракционирования от E-3015 в V-3003][i];
[A-3001_Е-3015_9654];[A-3001_Е-3015_ЗКЛ_9642][o];[A-3001_Е-3015_ДР_9648][i];[A-3001_Е-3015_ЗКЛ_ЗАГЛ_НЗ_9657][o];
[A-3001_Е-3015_9669];[A-3001_Е-3015_ЗКЛ_ЗАГЛ_НЗ_9657][i];[Дренаж в V-3023][i_A-3001_Е-3015_7];
[A-3001_Е-3015_9673];[A-3001A][i_motor_2];[A-3001A_М2][o_motor];
[A-3001_Е-3015_9674];[A-3001A][i_motor_1];[A-3001A_М1][o_motor];
[A-3001_Е-3015_9727];[A-3001B][i_motor_1];[A-3001B_М1][o_motor];
[A-3001_Е-3015_9728];[A-3001B][i_motor_2];[A-3001B_М2][o_motor];
[A-3001_Е-3015_9772];[A-3001С][i_motor_1];[A-3001С_М1][o_motor];
[A-3001_Е-3015_9773];[A-3001С][i_motor_2];[A-3001С_М2][o_motor];
[A-3001_Е-3015_9830];[A-3001_Е-3015_ДР_9831][i];[A-3001_Е-3015_ЗКЛ_9916][i];[A-3001A][out_water];[A-3001B][out_water];[A-3001С][out_water];
[A-3001_Е-3015_9862];[A-3001_Е-3015_ОК_9853][o];[Конденсат НД от аппаратов][i_A-3001_Е-3015_8];
[A-3001_Е-3015_9870];[Пар НД к аппаратам][o_A-3001_Е-3015_9];[A-3001_Е-3015_ОК_9878][i];
[A-3001_Е-3015_9871];[A-3001_Е-3015_ШК_9849][o];[A-3001_Е-3015_ОК_9853][i];[A-3001_Е-3015_ЗКЛ_9959][o];
[A-3001_Е-3015_9874];[A-3001_Е-3015_ШК_9849][i];[A-3001_Е-3015_ЗКЛ_9925][i];[A-3001_Е-3015_ЗКЛ_9916][o];[FO-034][o];
[A-3001_Е-3015_9877];[A-3001_Е-3015_ДР_9863][i];[A-3001_Е-3015_ШК_9901][i];[A-3001_Е-3015_ДР_9939][i];[A-3001_Е-3015_ОК_9878][o];[A-3001_Е-3015_ШК_9886][i];
[A-3001_Е-3015_9899];[A-3001_Е-3015_ШК_9886][o];[A-3001_Е-3015_ДР_9894][i];[A-3001С][in_water];[A-3001B][in_water];[A-3001A][in_water];
[A-3001_Е-3015_9914];[A-3001_Е-3015_ШК_9901][o];[FO-034][i];
[A-3001_Е-3015_9936];[A-3001_Е-3015_ЗКЛ_9925][o];[A-3001_Е-3015_Конд_9967][i];[A-3001_Е-3015_ДР_9954][i];
[A-3001_Е-3015_9965];[A-3001_Е-3015_Конд_9967][o];[A-3001_Е-3015_ЗКЛ_9959][i];[A-3001_Е-3015_ДР_9978][i];
