[E-3002A];[Теплообменник];[i_shell];[o_shell];[i_tube];[o_tube];
[E-3002AB_E-3004_ДР_10033];[Дренаж];[i];
[E-3002AB_E-3004_ДР_10065];[Дренаж];[i];
[E-3002AB_E-3004_ДР_10198];[Дренаж];[i];
[E-3002AB_E-3004_ДР_10244];[Дренаж];[i];
[E-3002AB_E-3004_ДР_10278];[Дренаж];[i];
[E-3002AB_E-3004_ДР_10310];[Дренаж];[i];
[E-3002AB_E-3004_ДР_10423];[Дренаж];[i];
[E-3002AB_E-3004_ДР_10495];[Дренаж];[i];
[E-3002AB_E-3004_ДР_10534];[Дренаж];[i];
[E-3002AB_E-3004_ДР_10553];[Дренаж];[i];
[E-3002AB_E-3004_ДР_10612];[Дренаж];[i];
[E-3002AB_E-3004_ДР_10620];[Дренаж];[i];
[E-3002AB_E-3004_ДР_9681];[Дренаж];[i];
[E-3002AB_E-3004_ДР_9687];[Дренаж];[i];
[E-3002AB_E-3004_ДР_9705];[Дренаж];[i];
[E-3002AB_E-3004_ДР_9758];[Дренаж];[i];
[E-3002AB_E-3004_ДР_9799];[Дренаж];[i];
[E-3002AB_E-3004_ДР_9831];[Дренаж];[i];
[E-3002AB_E-3004_ДР_9922];[Дренаж];[i];
[E-3002AB_E-3004_ДР_9928];[Дренаж];[i];
[E-3002AB_E-3004_ДР_9946];[Дренаж];[i];
[E-3002AB_E-3004_ДР_9993];[Дренаж];[i];
[TV-037];[Клапан в сборке];[i];[o];
[U053];[Датчик];[30];[38];
[_PP-10042];[МД];
[_PP-10084];[МД];
[_PP-10287];[МД];
[_PP-10329];[МД];
[_PP-9808];[МД];
[_PP-9853];[МД];
[_TG-008];[МД];
[_TG-009];[МД];
[_TG-024];[МД];
[_TG-025];[МД];
[_TG-026];[МД];
[Водяной пар промежуточного давления в V-3012 от PSV-20,21];[IO];[i];
[Газойль от Р-3005А/S];[IO];[o];
[Горячий остаток висбрекинга на вакуумную секцию];[IO];[i];
[Дренаж в V-3024];[Коллектор];[i_E-3002AB_E-3004_9];
[Дренаж в V-3027];[Коллектор];
[Дренаж в V-3027];[Коллектор];[i_E-3002AB_E-3004_2];[i_E-3002AB_E-3004_3];[i_E-3002AB_E-3004_4];[i_E-3002AB_E-3004_5];[i_E-3002AB_E-3004_6];[i_E-3002AB_E-3004_7];
[Дренаж в V-3027];[Коллектор];
[Дренаж в V-3027];[Коллектор];
[Дренаж в V-3027];[Коллектор];
[Дренаж в V-3027];[Коллектор];
[Квенч из Е-3002А/В в T-3001];[IO];[i];
[Остаток висбрекинга от E-3001/A-C в Е-3002А/В];[IO];[o];
[Пар промежуточного давления из E-3002A в V-3012];[IO];[i];
[Пар промежуточного давления из E-3002B в V-3012];[IO];[i];
[Пар промежуточного давления из E-3004 в V-3012];[IO];[i];
[Промывная жидкость от V-3020];[Коллектор];[o_E-3002AB_E-3004_1];[o_E-3002AB_E-3004_8];
[Промывная жидкость от V-3020];[Коллектор];
[Пусковая линия от Е-3002А/В к V-3001];[IO];[i];
[Циркуляционная вода из V-3012 в E-3002A];[IO];[o];
[Циркуляционная вода из V-3012 в E-3002B];[IO];[o];
[Циркуляционная вода из V-3012 в E-3004];[IO];[o];
[Циркуляционное орошение из Е-3004 в T-3001];[IO];[i];
[Циркуляционное орошение от P-3004A/S в E-3004];[IO];[o];
##########;
[E-3002AB_E-3004_9686];[E-3002AB_E-3004_ДР_9681][i];[PP-9853][1];[TG-024][2];[PSV-020][i];[E-3002AB_E-3004_ЗКЛ_9884][i];
[E-3002AB_E-3004_9694];[E-3002AB_E-3004_ДР_9687][i];[E-3002A][i_shell];[E-3002AB_E-3004_ЗКЛ_9699][o];[E-3002AB_E-3004_ЗКЛ_ЗАГЛ_НО_9737][o];
[E-3002AB_E-3004_9710];[E-3002AB_E-3004_ДР_9705][i];[E-3002AB_E-3004_ЗКЛ_9699][i];[E-3002AB_E-3004_ОК_9716][o];
[E-3002AB_E-3004_9721];[E-3002AB_E-3004_ЗКЛ_9712][o];[E-3002AB_E-3004_ОК_9716][i];
[E-3002AB_E-3004_9724];[E-3002AB_E-3004_ЗКЛ_9712][i];[Промывная жидкость от V-3020][o_E-3002AB_E-3004_1];[E-3002AB_E-3004_ЗКЛ_9953][i];
[E-3002AB_E-3004_9729];[E-3002AB_E-3004_ЗКЛ_ЗАГЛ_НО_9737][i];[Остаток висбрекинга от E-3001/A-C в Е-3002А/В][o];[E-3002AB_E-3004_ЗКЛ_9731][i];
[E-3002AB_E-3004_9773];[E-3002AB_E-3004_ЗКЛ_ЗАГЛ_НЗ_9763][o];[E-3002AB_E-3004_ЗКЛ_9752][o];[E-3002AB_E-3004_ДР_9758][i];
[E-3002AB_E-3004_9774];[E-3002AB_E-3004_ЗКЛ_9752][i];[E-3002AB_E-3004_ЗКЛ_ЗАГЛ_НО_9778][o];[E-3002A][o_shell];[E-3002AB_E-3004_ЗКЛ_9825][i];
[E-3002AB_E-3004_9777];[Дренаж в V-3027][i_E-3002AB_E-3004_2];[E-3002AB_E-3004_ЗКЛ_ЗАГЛ_НЗ_9763][i];[E-3002AB_E-3004_ЗКЛ_ЗАГЛ_НЗ_9998][i];
[E-3002AB_E-3004_9791];[E-3002AB_E-3004_ЗКЛ_ЗАГЛ_НО_9778][i];[E-3002AB_E-3004_ЗКЛ_9731][o];[TG-008][3];
[E-3002AB_E-3004_9806];[E-3002AB_E-3004_ДР_9799][i];[E-3002A][i_tube];[PP-9808][4];
[E-3002AB_E-3004_9822];[HX-030][i];[Циркуляционная вода из V-3012 в E-3002A][o];
[E-3002AB_E-3004_9823];[HX-030][o];[PP-9808][5];
[E-3002AB_E-3004_9837];[E-3002AB_E-3004_ЗКЛ_9825][o];[E-3002AB_E-3004_ДР_9831][i];[E-3002AB_E-3004_ЗКЛ_ЗАГЛ_НЗ_9839][o];
[E-3002AB_E-3004_9852];[E-3002AB_E-3004_ЗКЛ_ЗАГЛ_НЗ_9839][i];[Дренаж в V-3027][i_E-3002AB_E-3004_3];
[E-3002AB_E-3004_9863];[E-3002A][o_tube];[PP-9853][6];
[E-3002AB_E-3004_9894];[PSV-020][o];[E-3002AB_E-3004_ШК_9888][o];[PSV-021][o];[E-3002AB_E-3004_ШК_10119][o];[Водяной пар промежуточного давления в V-3012 от PSV-20,21][i];
[E-3002AB_E-3004_9896];[E-3002AB_E-3004_ЗКЛ_9884][o];[E-3002AB_E-3004_ШК_9888][i];
[E-3002AB_E-3004_9911];[E-3002AB_E-3004_ЗКЛ_ЗАГЛ_НО_9901][o];[TG-024][7];
[E-3002AB_E-3004_9914];[E-3002AB_E-3004_ЗКЛ_ЗАГЛ_НО_9901][i];[Пар промежуточного давления из E-3002A в V-3012][i];
[E-3002AB_E-3004_9927];[E-3002AB_E-3004_ДР_9922][i];[E-3002B][o_tube];[PP-10084][8];
[E-3002AB_E-3004_9935];[E-3002AB_E-3004_ДР_9928][i];[E-3002B][i_shell];[E-3002AB_E-3004_ЗКЛ_9940][o];[E-3002AB_E-3004_ЗКЛ_ЗАГЛ_НО_9965][o];
[E-3002AB_E-3004_9951];[E-3002AB_E-3004_ДР_9946][i];[E-3002AB_E-3004_ЗКЛ_9940][i];[E-3002AB_E-3004_ОК_9957][o];
[E-3002AB_E-3004_9962];[E-3002AB_E-3004_ЗКЛ_9953][o];[E-3002AB_E-3004_ОК_9957][i];
[E-3002AB_E-3004_9978];[E-3002AB_E-3004_ЗКЛ_ЗАГЛ_НО_9965][i];[E-3002AB_E-3004_ЗКЛ_9979][i];[TG-008][9];
[E-3002AB_E-3004_9986];[TG-009][10];[E-3002B][o_shell];[E-3002AB_E-3004_ЗКЛ_10059][i];
[E-3002AB_E-3004_10008];[E-3002AB_E-3004_ЗКЛ_ЗАГЛ_НЗ_9998][o];[E-3002AB_E-3004_ЗКЛ_9987][o];[E-3002AB_E-3004_ДР_9993][i];
[E-3002AB_E-3004_10009];[E-3002AB_E-3004_ЗКЛ_9987][i];[E-3002AB_E-3004_ЗКЛ_ЗАГЛ_НО_10012][o];[TG-009][11];
[E-3002AB_E-3004_10025];[E-3002AB_E-3004_ЗКЛ_ЗАГЛ_НО_10012][i];[E-3002AB_E-3004_ЗКЛ_9979][o];[T010][12];
[E-3002AB_E-3004_10029];[T010][13];[E-3002AB_E-3004_ОК_10580][i];[Квенч из Е-3002А/В в T-3001][i];
[E-3002AB_E-3004_10040];[E-3002AB_E-3004_ДР_10033][i];[E-3002B][i_tube];[PP-10042][14];
[E-3002AB_E-3004_10056];[HX-031][i];[Циркуляционная вода из V-3012 в E-3002B][o];
[E-3002AB_E-3004_10057];[HX-031][o];[PP-10042][15];
[E-3002AB_E-3004_10071];[E-3002AB_E-3004_ЗКЛ_10059][o];[E-3002AB_E-3004_ДР_10065][i];[E-3002AB_E-3004_ЗКЛ_ЗАГЛ_НЗ_10073][o];
[E-3002AB_E-3004_10095];[TG-025][16];[E-3002AB_E-3004_ЗКЛ_ЗАГЛ_НО_10132][o];[PSV-021][i];[E-3002AB_E-3004_ЗКЛ_10115][i];
[E-3002AB_E-3004_10098];[TG-025][17];[PP-10084][18];
[E-3002AB_E-3004_10127];[E-3002AB_E-3004_ЗКЛ_10115][o];[E-3002AB_E-3004_ШК_10119][i];
[E-3002AB_E-3004_10145];[E-3002AB_E-3004_ЗКЛ_ЗАГЛ_НО_10132][i];[Пар промежуточного давления из E-3002B в V-3012][i];
[E-3002AB_E-3004_10178];[E-3002AB_E-3004_ЗКЛ_ЗАГЛ_НЗ_10073][i];[Дренаж в V-3027][i_E-3002AB_E-3004_4];
[E-3002AB_E-3004_10203];[E-3002AB_E-3004_ДР_10198][i];[E-3004][o_tube];[TG-026][19];
[E-3002AB_E-3004_10230];[E-3002AB_E-3004_ЗКЛ_11013][i];[E-3002AB_E-3004_ЗКЛ_10395][i];[F046][20];
[E-3002AB_E-3004_10233];[FV-046][i];[E-3002AB_E-3004_ЗКЛ_10238][i];[E-3002AB_E-3004_ЗКЛ_11013][o];
[E-3002AB_E-3004_10237];[E-3004][o_shell];[E-3002AB_E-3004_ЗКЛ_10235][i];[E-3002AB_E-3004_ЗКЛ_10304][i];
[E-3002AB_E-3004_10249];[E-3002AB_E-3004_ЗКЛ_10238][o];[E-3002AB_E-3004_ДР_10244][i];[E-3002AB_E-3004_ЗКЛ_ЗАГЛ_НЗ_10252][o];
[E-3002AB_E-3004_10265];[E-3002AB_E-3004_ЗКЛ_ЗАГЛ_НЗ_10449][i];[Дренаж в V-3027][i_E-3002AB_E-3004_5];
[E-3002AB_E-3004_10266];[E-3002AB_E-3004_ЗКЛ_10417][i];[TV-037][i];[T092][21];
[E-3002AB_E-3004_10285];[E-3002AB_E-3004_ДР_10278][i];[E-3004][i_tube];[PP-10287][22];
[E-3002AB_E-3004_10301];[HX-032][i];[Циркуляционная вода из V-3012 в E-3004][o];
[E-3002AB_E-3004_10302];[HX-032][o];[PP-10287][23];
[E-3002AB_E-3004_10316];[E-3002AB_E-3004_ЗКЛ_10304][o];[E-3002AB_E-3004_ДР_10310][i];[E-3002AB_E-3004_ЗКЛ_ЗАГЛ_НЗ_10318][o];
[E-3002AB_E-3004_10349];[Пар промежуточного давления из E-3004 в V-3012][i];[E-3002AB_E-3004_ЗАГЛ_НО_10339][o];
[E-3002AB_E-3004_10391];[E-3002AB_E-3004_ЗКЛ_ЗАГЛ_НЗ_10252][i];[Дренаж в V-3027][i_E-3002AB_E-3004_6];
[E-3002AB_E-3004_10394];[E-3002AB_E-3004_ЗКЛ_11008][o];[TV-037][o];[T093][24];
[E-3002AB_E-3004_10400];[E-3002AB_E-3004_ЗКЛ_10395][o];[E-3004][i_shell];
[E-3002AB_E-3004_10428];[E-3002AB_E-3004_ЗКЛ_10417][o];[E-3002AB_E-3004_ДР_10423][i];[E-3002AB_E-3004_ЗКЛ_ЗАГЛ_НЗ_10449][o];
[E-3002AB_E-3004_10436];[Дренаж в V-3027][i_E-3002AB_E-3004_7];[E-3002AB_E-3004_ЗКЛ_ЗАГЛ_НЗ_10318][i];
[E-3002AB_E-3004_10441];[Циркуляционное орошение от P-3004A/S в E-3004][o];[T091][25];
[E-3002AB_E-3004_10464];[T092][26];[E-3002AB_E-3004_ЗКЛ_10235][o];
[E-3002AB_E-3004_10478];[T093][27];[Циркуляционное орошение из Е-3004 в T-3001][i];
[E-3002AB_E-3004_10484];[E-3002AB_E-3004_ЗКЛ_ЗАГЛ_НЗ_10628][i];[E-3002AB_E-3004_ЗКЛ_10489][o];[Пусковая линия от Е-3002А/В к V-3001][i];
[E-3002AB_E-3004_10485];[Промывная жидкость от V-3020][o_E-3002AB_E-3004_8];[E-3002AB_E-3004_ЗКЛ_10502][i];
[E-3002AB_E-3004_10511];[E-3002AB_E-3004_ЗКЛ_10502][o];[E-3002AB_E-3004_ОК_10506][i];
[E-3002AB_E-3004_10530];[Горячий остаток висбрекинга на вакуумную секцию][i];[E-3002AB_E-3004_ДР_10534][i];[E-3002AB_E-3004_ЗКЛ_ЗАГЛ_НО_10540][i];
[E-3002AB_E-3004_10558];[E-3002AB_E-3004_ДР_10553][i];[E-3002AB_E-3004_ЗКЛ_ЗАГЛ_НО_10540][o];[HV-006][o];
[E-3002AB_E-3004_10625];[E-3002AB_E-3004_ДР_10620][i];[E-3002AB_E-3004_ЗКЛ_10606][o];[E-3002AB_E-3004_ЗКЛ_ЗАГЛ_НЗ_10517][o];
[E-3002AB_E-3004_10651];[E-3002AB_E-3004_ДР_10612][i];[FV-002][i];[F002][28];
[E-3002AB_E-3004_10681];[Газойль от Р-3005А/S][o];[E-3002AB_E-3004_ОК_10600][i];
[E-3002AB_E-3004_10850];[FV-002][o];[E-3002AB_E-3004_ЗКЛ_10606][i];[E-3002AB_E-3004_ЗКЛ_10595][o];[S_30AM3004_1][29];
[E-3002AB_E-3004_10857];[E-3002AB_E-3004_ЗКЛ_ЗАГЛ_НЗ_10517][i];[Дренаж в V-3024][i_E-3002AB_E-3004_9];
[E-3002AB_E-3004_10860];[E-3002AB_E-3004_ОК_10600][o];[E-3002AB_E-3004_ЗКЛ_10595][i];
[E-3002AB_E-3004_10866];[E-3002AB_E-3004_ЗКЛ_ЗАГЛ_НЗ_10628][o];[U053][30];[S_30AM3004_2][31];
[E-3002AB_E-3004_10960];[E-3002AB_E-3004_ЗАГЛ_НО_10339][i];[PP-10329][32];
[E-3002AB_E-3004_10961];[PP-10329][33];[TG-026][34];
[E-3002AB_E-3004_10968];[F002][35];[E-3002AB_E-3004_ОК_10580][o];
[E-3002AB_E-3004_10971];[HV-006][i];[T018][36];
[E-3002AB_E-3004_10973];[T018][37];[U053][38];
[E-3002AB_E-3004_10988];[E-3002AB_E-3004_ЗКЛ_10489][i];[E-3002AB_E-3004_ОК_10506][o];[E-3002AB_E-3004_ДР_10495][i];
[E-3002AB_E-3004_10995];[T091][39];[F046][40];
[E-3002AB_E-3004_11012];[E-3002AB_E-3004_ЗКЛ_11008][i];[FV-046][o];
[E-3002AB_E-3004_11030];[S_30AM3004_2][41];[S_30AM3004_1][42];
