#Eps;#Eps;;
#kEps;#kEps;;
#Kv;#Kv;;
#Mw;#Mw;;
#P входа самого насоса(и);#P of the input of the pump (s);;
#P выхода самого насоса(и);#P output of the pump itself (s);;
#P(а);#P (a);;
#Pow : Текущая мощность (расчетная);#Pow: Current power (estimated);;
#Взять параметры газа;# Take gas parameters;;
#Взять параметры жидк;# Take fluid parameters;;
#Включен;#Switched on;;
#Вход;#Input;;
#Выход;#Output;;
#Выходное Р(и);# Output P (s);;
#Газ;#Gas;;
#Давление;#Pressure;;
#Давление на входе(и);# Inlet pressure (s);;
#Давление на выходе(и);# Outlet pressure (s);;
#Двигатель;#Engine;;
#Дренаж;#Drainage;;
#Дренирует (1:газ/-1:жидк);# Drains (1: gas / -1: liquid);;
#Есть сброс;# There is a reset;;
#Заданный поток, моль;# The set flow, mol;;
#Задать 'Выходное Р(и)';# Set 'Output P (s)';;
#Задать 'Макс. поток kg';# Set 'Max. kg 'flow;;
#Задать 'Перепад';# Set 'Delta';;
#Задать 'Поток kg';# Set 'Feed kg';;
#Задать 'Поток м3';# Set 'Flow m3';;
#Задать 'Поток моль';# Set 'Feed mole';;
#Задать 'Поток нм3';# Set 'Flow nm3';;
#Задвижка;# Gate valve;;
#Локальные блокировки;# Local locks;;
#Макс. поток kg;#Max. kg flow;;
#Масса газа;# Mass of gas;;
#Мощность;#Power;;
#Мощность МВт;# Power MW;;
#Мощность, МВт;# Power, MW;;
#Обороты;# Turnovers;;
#Опт. поворот;# Wholesale. turn;;
#Отн. нагружение;# Rel. loading;;
#Отн. потеря давления;# Rel. pressure loss;;
#Переводить?;#Translate?;;
#Перепад;# Delta;;
#Плотность смеси;# Density of the mixture;;
#Показания мощности;#Power indications;;
#Потери потока м3;# Loss of flow m3;;
#Поток kg;# Feed kg;;
#Поток дренажа моль;# Mole drainage flow;;
#Поток кг;# Feed kg;;
#Поток м3;# Flow m3;;
#Поток моль;# Stream of moth;;
#Поток нм3;#Nm3 flux;;
#Поток 'Рег_расхода';# Stream 'Cost_reg';;
#Прочитать состояние;# Read status;;
#Пуск/Стоп;# Start / stop;;
#Работает;#Works;;
#Сбросить;# Reset;;
#Сброшен;# Reset;;
#Состояние;#Condition;;
#Сохранить состояние;# Save state;;
#Срабатывание блокировки;# Lock operation;;
#Срабатывание блокировки в ...;# Lock operation in ...;;
#Т;# T;;
#Текущая T горения;# Current T burning;;
#Текущее время мин;# Current time min;;
#Температура;#Temperature;;
#Температура на входе;# Inlet temperature;;
#Температура на выходе;# Outlet temperature;;
#Ток, А;# Current, A;;
#Убрать сброс;# Remove reset;;
#Фаза горения;#Burning phase;;
#Фактические обороты;# Actual speed;;
#Число шагов сброса;# Number of reset steps;;
#Энтальпия потока;# Enthalpy of flow;;
//Полимер;//Polymer;;
Напор 11, %;Head 11%;;
Напор 2, %;Head 2,%;;
Напор 3, %;Head 3,%;;
Напор 4, %;Head 4,%;;
Напор 5, %;Head 5,%;;
Напор 6, %;Head 6,%;;
Напор 7, %;Head 7,%;;
Напор 8, %;Head 8,%;;
Напор 9, %;Head 9%;;
Напор насоса;Pump head;;
Напряжение;Voltage;;
Напряжение в сети, кВт;Mains voltage, kW;;
Насос сброшен;Pump reset;;
Насосы;Pumps;;
Начало нелинейности по P;The beginning of nonlinearity in P;;
Не вставать;Do not get up;;
Не пускать при открытом выкиде;Do not let with open mock;;
Неисправность ПЧ;IF fault;;
Нелинейная;Nonlinear;;
Нелинейность проходимости;Non-linearity of passability;;
Несанкционированное закрытие;Unauthorized closing;;
Несанкционированное открытие;Unauthorized opening;;
Нет сброса;No reset;;
Новое значение;New value;;
Ном_dP_газ;Nom_dP_gas;;
Ном_dP_жидк;Nom_dP_ liquid;;
Ном_F_м3_жидк;Nom_F_m3_ liquid;;
Ном_F_нм3_газ;Nom_F_nm3_gas;;
Ном_Mw_газ;Nom_Mw_gas;;
Ном_Mw_жидк;Nom_Mw_ liquid;;
Ном_P;Nom_P;;
Ном_Ro_жидк;Nom_Ro_ liquid;;
Ном_T_C;Nom_T_C;;
Ном_ток;Current_nom;;
Номинальная нагрузка, МВт;Rated load, MW;;
Номинальная плотность;Nominal density;;
Номинальная подача м3;Nominal flow m3;;
Номинальная поток разогрева насоса;Nominal heating flow of the pump;;
Номинальное давление нелинейности;Nominal pressure nonlinearity;;
Номинальное давление(а);Nominal pressure (a);;
Номинальный ток;Rated current;;
Обороты;Revs;;
Обороты НЕ регулируемые;Revolutions NOT adjustable;;
ОбрКлап;Obrklap;;
Объемный;Volume;;
Осевой сдвиг;Axial shift;;
Осевой_сдвиг;Axial_shift;;
Останов;Stop;;
Останов двигателя;Engine stop;;
Останов насоса;Pump stop;;
Отказ пусковой аппаратуры;Launcher Failure;;
Отказы;Мalfunction;;
Отн. падение на входе;Rel input drop;;
Отн. падение на выходе;Rel output drop;;
Отн. падение при ном. расходе;Rel fall at nom. expense;;
Отн. проходимость утечки;Rel leakage patency;;
Относительная теплоотдача воздух/продукт;Relative heat transfer air / product;;
Относительная теплопроводность корпуса;Relative thermal conductivity of the housing;;
Относительные обороты насоса;Relative speed of the pump;;
Относительный поток охлаждения;Relative cooling flow;;
Охлаждение цилиндров;Cylinder cooling;;
Падение клина;Falling wedge;;
Падение мощности насоса;Pump power drop;;
Падение оборотов двигателя;Engine speed drop;;
Паразитный объем;Spurious Volume;;
Параметры;Parameters;;
Переключатель в поле;Field switch;;
Перепад;Drop;;
Перепад высот до точки входа дыма;Altitude difference to smoke entry point;;
Перепад насоса;Differential pump;;
Пересчет параметров;Recalculation of parameters;;
Питание 6000V;6000V power;;
Плотность мономера;Monomer Density;;
Плотность полимера;Polymer density;;
Подача 1, %;Supply 1%;;
Подача 10, %;Supply 10%;;
Подача 11, %;Feed 11%;;
Подача 2, %;Supply 2%;;
Подача 3, %;Feed 3%;;
Подача 4, %;Feed 4%;;
Подача 5, %;Feed 5%;;
Подача 6, %;Feed 6%;;
Подача 7, %;Feed 7%;;
Подача 8, %;Feed 8%;;
Подача 9, %;Supply 9%;;
Подача винтового насоса кг;Feed screw pump kg;;
Подача насоса;Pump feed;;
Показания амперметра (0-1);Ammeter reading (0-1);;
Показать отказы;Show bounce;;
Положение клапана;Valve position;;
Помещение;Room;;
Поправка к мощности;Power correction;;
Поправка к напору;Pressure correction;;
Поправка к перепаду давления;Differential pressure correction;;
Поправка к подаче;Amendment to the filing;;
Потеря напора при сбросе;Head loss during discharge;;
Поток в трубе кг/ч;Pipe flow kg / h;;
Поток кг;Kg flow;;
Поток ХХ (%Vmax);Stream XX (% Vmax);;
Поток, кг;Flow kg;;
Поток, кг/ч;Flow kg / h;;
Поток, кмоль/ч;Flow, kmol / h;;
Предельное P;Limit P;;
Прекращение подачи/приема;Discontinuation of feed / reception;;
Продукт на всасе;Product on suction;;
Продукт на нагнетании;Discharge Product;;
Производительность 100;Performance 100;;
Производительность при неисправности %;Failure rate%;;
Проходимоcть;Passability;;
Проходимость дренажа;Drainage patency;;
Проходимость ОК;Patency OK;;
Проходимость по воде на компрессор;Compressor water throughput;;
Проходимость по охлаждению;Cooling throughput;;
Проходимость при выключении;Off-road throughput;;
Проходимость слива винтового насоса;Screw pump drainage flow;;
Прочитать состояние при старте;Read status at startup;;
Пуск;Start;;
Пуск возможен;Start is possible;;
Пуск зеленый;Start green;;
Пуск(1)/Стоп(0);Start (1) / Stop (0);;
Пуск. ток;Start. current;;
Пуск/Стоп;Start / stop;;
Пуск/Стоп с пульта;Start / Stop with remote control;;
Пуск_2;Start_2;;
Пуск_3;Start_3;;
Пуск_M;Start_M;;
Пуск_стоп;Start_stop;;
Пускатель;Actuator;;
Пусковой ток;Starting current;;
Р_нагнетания;Injection_;;
Работа насоса от внешнего привода;Pump operation by external drive;;
Работает;Works;;
Работать как источник;Work as a source;;
Рабочая Т;Working T;;
Рабочая температура насоса;Pump operating temperature;;
Рабочее напряжение, кВ;Operating voltage, kV;;
Рабочие обороты;Working revolutions;;
Разгерметизация;Depressurization;;
Разгерметизация уплотнения;Seal leak;;
Разрешение;Resolution;;
Разрешение_пуска;Start_resolution;;
Разрешить глобальные блокировки;Allow global locks;;
Расчет Gamma;Gamma calculation;;
Расчет полимера;Polymer calculation;;
Рег. задание физ.;Reg. physical task;;
Регулировка Omega;Omega adjustment;;
Регулировка дополнение;Adjustment addition;;
Режим;Operating mode;;
Ручной;Manual;;
Сброс;Reset;;
Сброс насоса;Pump reset;;
Скорость;Speed;;
Скорость изменения мощности;Power change rate;;
Скорость изменения нелинейности;Nonlinearity Change Rate;;
Скорось движения к заданию, %/мин;Movement speed to the task,% / min;;
Слив в % от текущей подачи;Drain in% of the current feed;;
Слив в % текущего;Drain in% of the current;;
Снижение производительности;Performance degradation;;
Состав;Structure;;
Состав при отказе;Failure Composition;;
Состояние;condition;;
Степень нелинейность проходимости;Degree of non-linearity of patency;;
Степень разгерметизации %;Degree of depressurization%;;
Степень снижения мощности %;The degree of power reduction%;;
Степень снижения оборотов %;The degree of reduction in speed%;;
Стоп;Stop;;
Стоп_2;Stop_2;;
Стоп_3;Stop_3;;
Стоп_M;Stop_M;;
Стоп2;Stop2;;
Супер сброс;Super reset;;
Т газа на входе;T gas inlet;;
Т газа на выходе;T gas outlet;;
Т корпуса с учетом подогрева рабочей жидкостью;T housing, taking into account the heating fluid;;
Т_корпуса;T_Corpus;;
Температура;Temperature;;
Температура упл. масла;Temperature acc. oils;;
Температура упл. масла в норме - 1;Temperature acc. oil is normal - 1;;
Тип среды;Medium type;;
Тип_от_V;Type_of_V;;
Ток;Current;;
Ток при Pow1;Current at Pow1;;
Ток при Pow2;Current at Pow2;;
Ток(Ro);Current (Ro);;
Ток, А;Current, A;;
Ток, с учетом зависимости от плотности А;Current, depending on the density A;;
Трубопроводы;Pipelines;;
Управление_по_месту;Location_Management;;
Уровень загрязнений при утечках в ПДК;MPL leakage level;;
Уровень на всасе;Suction level;;
Уровень упл. масла;Opl. oils;;
Уровень упл. масла в норме - 1;Opl. oil is normal - 1;;
Утечка;A leak;;
Утечка винтового насоса;Screw pump leak;;
Утечка выход->вход включенного;Leak output -> input enabled;;
Утечка выход->вход выключенного;Leak output -> input off;;
Учитывать Eps на входе;Eps input;;
Учитывать загазованность у всех насосов;Consider gas contamination for all pumps;;
Учитывать загазованность у данного насоса;Take into account gas contamination at this pump.;;
Фаза пуска 1;Startup Phase 1;;
Фаза пуска 5;Startup Phase 5;;
Фактические обороты;Actual RPM;;
Фактические_обороты;Actual_Rpm;;
Характеристика;Characteristic;;
Характеристики;Characteristics;;
ЧП;State of emergency;;
Заданный состав;;;
#Заданный поток, кг;;;
#Задать 'Заданный поток, кг';;;
#Заданный поток, нм3;;;
#Задать 'Заданный поток, нм3';;;
#Заданное давление на входе(и);;;
#Задать 'Заданное давление на входе(и)';;;
#Давление(и);;
#Плотность при ст. Т;;
#Энтальпия;;
#Сумма потоков;;
#Давление(и) Па;;
#Сообщения;;
#Группа;;
Время охлаждения;;
Подтекание;;
Минимальный поток моль;;
Масса в трубе моль;;
Объем трубы;;
Вывод потоков в кг;;
Мин поток разгерметизации;;
/Дополнения;;
#Убрать газ;;
#Охладить;;
Расчет T;;
Расчет Ro по жидкости;;
Заданное давление расчета состояния(а);;
Минимальная Т;;
Максимальная т-ра;;
T подогрева;;
Использовать фильтры потоков;;
Максимальная загазованность при разгерметизации;;
/Проверки;;
Проверять давление;;
Моминальное давление(и);;
Допустимые изменения давления;;
Проверять поток, кг;;
Моминальный поток, кг;;
Допустимые изменения потока;;
Проверять стабильность потоков;;
/Задания(временно);;
Заданный поток;;
#N заданного потока;;
#Дренажей;;
#Зад. открытие дренажей %;;
Номинальный поток дренажей;;
#Суммарная проходимость;;
#Поток дренажей м3;;
#Поток дренажей кг;;
#Макс поток дренажей м3;;
#Макс поток дренажей кг;;
Неисправности;;
Проходимость слива;;
#Задать 'Температура';;
#Давление(а);;
#Задать 'Давление(а)';;
Потоки, моль(>0 в трубу);;
Потоки компонент;;
#Сохранить состав в трубе;;
№ потока C;;
нет,моль,кг,%;;
#Азот(5);;
Точки;;
